date,value
1969-04-01,16
1969-05-01,15
1969-06-01,4
1969-07-01,-3
1969-08-01,2
1969-09-01,9
1969-10-01,12
1969-11-01,14
1969-12-01,29
1970-01-01,10
1970-02-01,24
1970-03-01,9
1970-04-01,9
1970-05-01,-3
1970-06-01,1
1970-07-01,0
1970-08-01,-8
1970-09-01,11
1970-10-01,4
1970-11-01,2
1970-12-01,-12
1971-01-01,-1
1971-02-01,-18
1971-03-01,-16
1971-04-01,-8
1971-05-01,-4
1971-06-01,-16
1971-07-01,-9
1971-08-01,0
1971-09-01,2
1971-10-01,-3
1971-11-01,-2
1971-12-01,-5
1972-01-01,-24
1972-02-01,-16
1972-03-01,3
1972-04-01,-1
1972-05-01,1
1972-06-01,9
1972-07-01,4
1972-08-01,18
1972-09-01,3
1972-10-01,8
1972-11-01,3
1972-12-01,20
1973-01-01,28
1973-02-01,31
1973-03-01,26
1973-04-01,26
1973-05-01,24
1973-06-01,18
1973-07-01,10
1973-08-01,4
1973-09-01,9
1973-10-01,14
1973-11-01,6
1973-12-01,-5
1974-01-01,-14
1974-02-01,-26
1974-03-01,-4
1974-04-01,-10
1974-05-01,-1
1974-06-01,-5
1974-07-01,-3
1974-08-01,11
1974-09-01,-11
1974-10-01,-6
1974-11-01,-6
1974-12-01,-8
1975-01-01,8
1975-02-01,7
1975-03-01,14
1975-04-01,4
1975-05-01,16
1975-06-01,2
1975-07-01,0
1975-08-01,-20
1975-09-01,-3
1975-10-01,-10
1975-11-01,-15
1975-12-01,-17
1976-01-01,-2
1976-02-01,-8
1976-03-01,-22
1976-04-01,-9
1976-05-01,-22
1976-06-01,-14
1976-07-01,-9
1976-08-01,-16
1976-09-01,-9
1976-10-01,-28
1976-11-01,-7
1976-12-01,4
1977-01-01,12
1977-02-01,15
1977-03-01,21
1977-04-01,23
1977-05-01,27
1977-06-01,26
1977-07-01,20
1977-08-01,16
1977-09-01,-2
1977-10-01,0
1977-11-01,16
1977-12-01,4
1978-01-01,6
1978-02-01,10
1978-03-01,19
1978-04-01,12
1978-05-01,5
1978-06-01,0
1978-07-01,6
1978-08-01,-16
1978-09-01,7
1978-10-01,1
1978-11-01,14
1978-12-01,6
1979-01-01,10
1979-02-01,-12
1979-03-01,15
1979-04-01,8
1979-05-01,1
